P	Q
0	0.381
0	0.381
0	0.381
0	0.3556
0	0.3556
0	0.381
0	0.3556
0	0.3302
0	0.3302
0	0.3302
0	0.3302
0	0.2794
0	0.254
0	0.254
0	0.254
0	0.2794
0	0.2794
0	0.2794
0	0.2794
0	0.2794
0	0.2794
0	0.2794
0	0.2794
0	0.2794
0	0.2794
0	0.3048
0	0.3048
0	0.3048
0	0.2794
0	0.254
0	0.2286
0	0.2032
0	0.2032
0	0.2032
0	0.2032
0	0.2032
1.8	0.2032
0	0.2032
0	0.2286
7.1	0.2286
8.1	0.254
10.7	0.2794
63.8	2.5146
3.3	4.0132
0.8	1.7272
0	1.0668
0	0.8128
0	0.7112
0	0.635
10.9	0.6096
2.5	0.6604
0	0.5588
0	0.5334
0	0.508
0	0.4826
0	0.4826
0	0.4826
0	0.4826
0	0.4572
0	0.4318
0	0.4318
0	0.4318
5.3	0.4318
0	0.4318
0	0.4318
0	0.4064
1	0.4318
0	0.4318
7.4	0.4572
0	0.4318
0	0.4064
0	0.381
0	0.3556
0	0.3302
0	0.3302
0.5	0.3302
0	0.3048
16.5	0.4064
0	0.508
36.3	1.7526
11.2	2.4384
34.5	3.6576
10.7	7.4422
0	3.3274
0	2.0574
5.8	1.6256
0	1.3208
3.3	1.143
0	1.016
7.6	0.9144
0	0.9906
10.4	1.016
25.1	4.9022
5.1	3.3782
26.9	5.6642
97.8	19.6342
58.4	50.7746
9.9	19.812
4.8	9.5504
0	5.3848
0	3.81
11.9	2.9972
42.7	11.4554
17	10.6934
14.7	7.9502
27.7	12.1412
2.5	12.2936
11.2	7.8994
0	5.715
2	4.4196
32.8	8.2042
18.8	11.43
4.6	9.906
0	7.1374
8.9	5.0292
2.3	4.2164
0	3.7338
0	3.0734
0	2.6162
0	2.2606
0	2.032
0	1.8542
0	1.7018
36.6	2.4384
8.9	6.0198
0	4.5974
25.7	5.2832
0	6.6294
0	4.572
0	3.4036
0	2.8194
0	2.4892
0.5	2.2352
0	2.0828
0	1.905
0	1.6764
1.5	1.6002
14.5	1.6256
27.7	3.3782
14.5	6.9342
0	6.2992
0	4.2926
6.9	3.4036
5.6	3.175
33	6.9342
22.6	12.5222
20.6	22.4536
0	12.2936
0	6.731
0	4.8514
37.3	5.6134
2.3	10.1092
4.6	6.6802
